Title,Basic Facts,Recent News
Abortion ,"About six-in-ten U.S. adults (58%) said in a 2018 survey that abortion should be legal in all or most cases, compared with 37% who said it should be illegal. There are substantial partisan and ideological divides on abortion, with Democrats much more likely than Republicans to say it should be legal in all or most cases. When it comes to the Supreme Court’s landmark 1973 ruling, about seven-in-ten Americans (69%) said Roe v. Wade should not be completely overturned, ","In a December 2017 survey, roughly half of Americans (48%) said having an abortion is morally wrong, while 20% said they think it is morally acceptable and 31% said it is not a moral issue. These views also differed by religious affiliation: About three-quarters of evangelical Protestants (77%) said having an abortion is morally wrong, but just 24% of religiously unaffiliated people agreed."
Budget & Economy ,"In 2018, the government spent $4.11 trillion. the attacks on 9/11 led to the War on Terror. It's added $2.4 trillion to the debt since 2001. It almost doubled annual military spending. It rose from $111.9 billion in 2003 to a peak of $150.8 billion in 2019. That includes the defense department budget and off-budget emergency spending, and increases for the Department of Veterans Affairs.","Large U.S. financial institutions reaped a windfall from the 2017 Trump tax cuts. Now foreign banks are pushing for favorable treatment from Treasury. With the clock ticking toward a potential debt default, federal budget negotiators are maneuvering to isolate the man seen as the common enemy: Mick Mulvaney."
Civil Rights ,"American civil rights movement, mass protest movement against racial segregation and discrimination in the southern United States that came to national prominence during the mid-1950s. This movement had its roots in the centuries-long efforts of African slaves and their descendants to resist racial oppression and abolish the institution of slavery. Although American slaves were emancipated as a result of the Civil War and were then granted basic civil rights through the passage of the Fourteenth and Fifteenth amendments to the U.S. Constitution, struggles to secure federal protection of these rights continued during the next century. ","Ultimately, Obama’s approach to the world and, arguably, his appeal to many voters were transracial, grounded in a sophisticated understanding of the complex nature of racial identity that was no longer merely dichotomous—no longer simply a matter of black or white. Given the deeply rooted racial conflicts of the American past, however, it is unlikely that Obama’s election signaled the start of a postracial era without divisive racial issues and controversies."
Corporations ,"As already noted, the undue influence of corporate interests on the functions of government is not new, and Sen. Whitehouse’s book explains how Americans have faced and overcome this threat before. America’s founders recognized the danger of corporate capture: In 1816, Thomas Jefferson warned the new republic to “crush in its birth the aristocracy of our monied corporations which dare already to challenge our government to a trial of strength, and bid defiance to the laws of their country.” ","In the first presidential contest after the Citizens United decision, 84 percent of Americans agreed that corporate political spending drowns out the voices of average Americans, and 83 percent believed that corporations and corporate CEOs have too much political power and influence. This aligns with more recent research showing that 84 percent of people think government is benefitting special interests, and 83 percent think government is benefitting big corporations and the wealthy."
Crime ,"Crime rates vary among U.S. states. In 2011, the state with the lowest violent crimerate was Maine, with a rate of 123.2 per 100,000 residents, while the state with the highest violent crime rate was Tennessee, with a rate of 608.2 per 100,000.","Violent crime in the U.S. has fallen sharply over the past quarter century. The two most commonly cited sources of crime statistics in the U.S. both show a substantial decline in the violent crime rate since it peaked in the early 1990s. One is an annual report by the FBI of serious crimes reported to police in approximately 18,000 jurisdictions around the country. The other is an annual survey of more than 90,000 households conducted by the Bureau of Justice Statistics, which asks Americans ages 12 and older whether they were victims of crime, regardless of whether they reported those crimes to the police."
Drugs ,            The turn of the century witnessed a heightened awareness that psychotropic drugs have a great potential for causing addiction.  The abuse of opium and cocaine at the end of the 19th century reached epidemic proportions.  Local governments began prohibiting opium dens and opium importation.  In 1906 the Pure Food and Drug Act required all physicians to accurately label their medicines.  Drugs were no longer seen as harmless remedies for aches and pains.,"  Opioid abuse and addiction has been the subject of much hand wringing in the past two or three years, but the problem is much broader and deeper than that. There are over 22 million individuals in the U.S who have a substance abuse problem (including alcohol).  At any given moment, there are about 4.5 million individuals who have a substance use disorder due to the abuse of illicit and prescription drugs."
Education ,"Education in the United States is provided in public, private, and home schools. State governments set overall educational standards, often mandate standardized tests for K–12 public school systems and supervise, usually through a board of regents, state colleges, and universities.","However, despite all these attributes, the U.S. faces many challenges. On the global stage, U.S. hegemony has eroded over the past decade, and China and India are projected to overtake the U.S. in terms of economic output by 2050. The country also remains mired in the war in Afghanistan, the longest running war in its history. Domestically, income inequality is among the worst of the major advanced economies. Furthermore, the bitter 2016 presidential election, in which businessman Donald J. Trump defeated former U.S. Secretary of State Hillary Clinton, exposed deep fissures in American society politically, racially, culturally, and regionally—and has caused some to call into question the strength of American democracy."
Energy & Oil ,Easy availability of natural resources has helped the industrialization process of the United States to a great extent. The huge variety of natural resources contributes a substantial share of the revenue of the US federal government. The ready availability and abundance of natural resources also provide the nation with a comparative advantage in the global financial markets. ,"Due to the non-renewable nature of fossil fuels like coal, natural gas, and petroleum, the use of renewable sources of energy has gained substantial popularity in United States in recent times. The federal and state governments of United States have put stress on conservation of natural resources. "
Environment ,"Environmental issues in the United States include climate change, energy, species conservation, invasive species, deforestation, mining, nuclear accidents, pesticides, pollution, waste and over-population. Despite taking hundreds of measures, the rate ofenvironmental issues is increasing rapidly instead of reducing.","Humans have been playing a devastating role in ruining the natural resources and intervening atmospheric activities. Being the third largest country in the world, the United States of America has emerged as one of the significantly affected regions from environmental concerns and issues."
Families & Children ,Three in 4 children ages 12 and under would be income-eligible for child care assistance.The median family’s child care payment would not exceed $45 per week.All child care workers would earn a living wage. Three-quarters of child care workers currently earn below a living wage and would therefore see a pay increase.,"Congress included the largest-ever funding increase for the nation’s child care assistance program—the Child Care and Development Block Grant—in the fiscal year 2018–2019 budget, which serves as a down payment on the CCWFA.8 While this funding increase represents a critical first step that will lead to real improvements for families, a more comprehensive solution is needed to help all families afford and access quality child care."
